symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
XPBRA.MC,Petróleo Brasileiro S.A. - Petrobras,EQUITY,EUR,spain,"{'raw': 97123729408, 'fmt': '97.124B', 'longFmt': '97,123,729,408'}",97230683521,petroleo
AIR.MC,Airbus SE,EQUITY,EUR,spain,"{'raw': 82386993152, 'fmt': '82.387B', 'longFmt': '82,386,993,152'}",82477718949,"airbus,se"
ITX.MC,"Industria de Diseño Textil, S.A.",EQUITY,EUR,spain,"{'raw': 74258882560, 'fmt': '74.259B', 'longFmt': '74,258,882,560'}",74340657559,textil
XVALO.MC,Vale S.A.,EQUITY,EUR,spain,"{'raw': 66629922816, 'fmt': '66.63B', 'longFmt': '66,629,922,816'}",66703296690,"vale,sa"
IBE.MC,"Iberdrola, S.A.",EQUITY,EUR,spain,"{'raw': 67332603904, 'fmt': '67.333B', 'longFmt': '67,332,603,904'}",67406751581,iberdrola
XAMXL.MC,"América Móvil, S.A.B. de C.V.",EQUITY,EUR,spain,"{'raw': 60374540288, 'fmt': '60.375B', 'longFmt': '60,374,540,288'}",60441025641,movil
SAN.MC,"Banco Santander, S.A.",EQUITY,EUR,spain,"{'raw': 41784463360, 'fmt': '41.784B', 'longFmt': '41,784,463,360'}",41830477040,"banco,santander"
XBBDC.MC,Banco Bradesco S.A.,EQUITY,EUR,spain,"{'raw': 36409384960, 'fmt': '36.409B', 'longFmt': '36,409,384,960'}",36449479523,bradesco
BBVA.MC,"Banco Bilbao Vizcaya Argentaria, S.A.",EQUITY,EUR,spain,"{'raw': 29135986688, 'fmt': '29.136B', 'longFmt': '29,135,986,688'}",29168071675,argentaria
NTGY.MC,"Naturgy Energy Group, S.A.",EQUITY,EUR,spain,"{'raw': 28683403264, 'fmt': '28.683B', 'longFmt': '28,683,403,264'}",28714989859,naturgy
CLNX.MC,"Cellnex Telecom, S.A.",EQUITY,EUR,spain,"{'raw': 27836491776, 'fmt': '27.836B', 'longFmt': '27,836,491,776'}",27867145739,cellnex
AMS.MC,"Amadeus IT Group, S.A.",EQUITY,EUR,spain,"{'raw': 25014048768, 'fmt': '25.014B', 'longFmt': '25,014,048,768'}",25041594615,"amadeus,it"
TEF.MC,"Telefónica, S.A.",EQUITY,EUR,spain,"{'raw': 24232908800, 'fmt': '24.233B', 'longFmt': '24,232,908,800'}",24259594444,telefonica
CCEP.MC,Coca-Cola Europacific Partners PLC,EQUITY,EUR,spain,"{'raw': 24050100224, 'fmt': '24.05B', 'longFmt': '24,050,100,224'}",24076584556,europacific
CABK.MC,"CaixaBank, S.A.",EQUITY,EUR,spain,"{'raw': 23335098368, 'fmt': '23.335B', 'longFmt': '23,335,098,368'}",23360795329,caixabank
XELTO.MC,Centrais Elétricas Brasileiras S.A. - Eletrobrás,EQUITY,EUR,spain,"{'raw': 20949399552, 'fmt': '20.949B', 'longFmt': '20,949,399,552'}",20972469346,centrais
MTS.MC,ArcelorMittal S.A.,EQUITY,EUR,spain,"{'raw': 20026724352, 'fmt': '20.027B', 'longFmt': '20,026,724,352'}",20048778082,arcelormittal
ELE.MC,"Endesa, S.A.",EQUITY,EUR,spain,"{'raw': 19287508992, 'fmt': '19.288B', 'longFmt': '19,287,508,992'}",19308748687,endesa
FER.MC,"Ferrovial, S.A.",EQUITY,EUR,spain,"{'raw': 19238674432, 'fmt': '19.239B', 'longFmt': '19,238,674,432'}",19259860350,ferrovial
AENA.MC,"Aena S.M.E., S.A.",EQUITY,EUR,spain,"{'raw': 19042498560, 'fmt': '19.042B', 'longFmt': '19,042,498,560'}",19063468446,aena
REP.MC,"Repsol, S.A.",EQUITY,EUR,spain,"{'raw': 18929416192, 'fmt': '18.929B', 'longFmt': '18,929,416,192'}",18950261550,repsol
ANE.MC,"Corporación Acciona Energías Renovables, S.A.",EQUITY,EUR,spain,"{'raw': 14422081536, 'fmt': '14.422B', 'longFmt': '14,422,081,536'}",14437963349,corporacion
XEKT.MC,"Grupo Elektra, S.A.B. de C.V.",EQUITY,EUR,spain,"{'raw': 13875495936, 'fmt': '13.875B', 'longFmt': '13,875,495,936'}",13890775841,"grupo,elektra"
SGRE.MC,"Siemens Gamesa Renewable Energy, S.A.",EQUITY,EUR,spain,"{'raw': 12224176128, 'fmt': '12.224B', 'longFmt': '12,224,176,128'}",12237637574,gamesa
ANA.MC,"Acciona, S.A.",EQUITY,EUR,spain,"{'raw': 11418833920, 'fmt': '11.419B', 'longFmt': '11,418,833,920'}",11431408511,acciona
XGGB.MC,Gerdau S.A.,EQUITY,EUR,spain,"{'raw': 7422002176, 'fmt': '7.422B', 'longFmt': '7,422,002,176'}",7430175396,gerdau
XCMIG.MC,Companhia Energética de Minas Gerais,EQUITY,EUR,spain,"{'raw': 6561757696, 'fmt': '6.562B', 'longFmt': '6,561,757,696'}",6568983602,energetica
IAG.MC,International Consolidated Airlines Group S.A.,EQUITY,EUR,spain,"{'raw': 6407856128, 'fmt': '6.408B', 'longFmt': '6,407,856,128'}",6414912555,"international,consolidated,airlines"
ACS.MC,"ACS, Actividades de Construcción y Servicios, S.A.",EQUITY,EUR,spain,"{'raw': 6037286912, 'fmt': '6.037B', 'longFmt': '6,037,286,912'}",6043935263,actividades
XBRK.MC,Braskem S.A.,EQUITY,EUR,spain,"{'raw': 5399283200, 'fmt': '5.399B', 'longFmt': '5,399,283,200'}",5405228971,braskem
GRF.MC,"Grifols, S.A.",EQUITY,EUR,spain,"{'raw': 5397635072, 'fmt': '5.398B', 'longFmt': '5,397,635,072'}",5403579029,grifols
MAP.MC,"Mapfre, S.A.",EQUITY,EUR,spain,"{'raw': 5078177792, 'fmt': '5.078B', 'longFmt': '5,078,177,792'}",5083769957,mapfre
ENG.MC,"Enagás, S.A.",EQUITY,EUR,spain,"{'raw': 5067215360, 'fmt': '5.067B', 'longFmt': '5,067,215,360'}",5072795453,enagas
MRL.MC,"MERLIN Properties SOCIMI, S.A.",EQUITY,EUR,spain,"{'raw': 4469207552, 'fmt': '4.469B', 'longFmt': '4,469,207,552'}",4474129110,socimi
BKT.MC,"Bankinter, S.A.",EQUITY,EUR,spain,"{'raw': 4415907328, 'fmt': '4.416B', 'longFmt': '4,415,907,328'}",4420770191,bankinter
FCC.MC,"Fomento de Construcciones y Contratas, S.A.",EQUITY,EUR,spain,"{'raw': 3971591424, 'fmt': '3.972B', 'longFmt': '3,971,591,424'}",3975965000,construcciones
XCOP.MC,Companhia Paranaense de Energia - COPEL,EQUITY,EUR,spain,"{'raw': 3747017216, 'fmt': '3.747B', 'longFmt': '3,747,017,216'}",3751143487,paranaense
SAB.MC,"Banco de Sabadell, S.A.",EQUITY,EUR,spain,"{'raw': 3642261248, 'fmt': '3.642B', 'longFmt': '3,642,261,248'}",3646272160,"banco,de"
GCO.MC,"Grupo Catalana Occidente, S.A.",EQUITY,EUR,spain,"{'raw': 3475777536, 'fmt': '3.476B', 'longFmt': '3,475,777,536'}",3479605114,catalana
FDR.MC,"Fluidra, S.A.",EQUITY,EUR,spain,"{'raw': 3194603264, 'fmt': '3.195B', 'longFmt': '3,194,603,264'}",3198121209,fluidra
CIE.MC,"CIE Automotive, S.A.",EQUITY,EUR,spain,"{'raw': 2990230784, 'fmt': '2.99B', 'longFmt': '2,990,230,784'}",2993523671,"cie,automotive"
SLR.MC,"Solaria Energía y Medio Ambiente, S.A.",EQUITY,EUR,spain,"{'raw': 2973833728, 'fmt': '2.974B', 'longFmt': '2,973,833,728'}",2977108558,ambiente
