symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
TYT.L,Toyota Motor Corporation,EQUITY,JPY,uk,"{'raw': 287439585280, 'fmt': '287.44B', 'longFmt': '287,439,585,280'}",2104920953,"toyota,motor"
AZN.L,AstraZeneca PLC,EQUITY,GBp,uk,"{'raw': 177695522816, 'fmt': '177.696B', 'longFmt': '177,695,522,816'}",1301264852,astrazeneca
BHP.L,BHP Group Limited,EQUITY,GBp,uk,"{'raw': 176856252416, 'fmt': '176.856B', 'longFmt': '176,856,252,416'}",1295118872,"bhp,group"
SHEL.L,Shell plc,EQUITY,GBp,uk,"{'raw': 169122873344, 'fmt': '169.123B', 'longFmt': '169,122,873,344'}",1238487313,"shell,plc"
BP-A.L,BP p.l.c.,EQUITY,GBp,uk,"{'raw': 131899777024, 'fmt': '131.9B', 'longFmt': '131,899,777,024'}",965902466,"bp,plc"
HSBA.L,HSBC Holdings plc,EQUITY,GBp,uk,"{'raw': 105311232000, 'fmt': '105.311B', 'longFmt': '105,311,232,000'}",771194471,hsbc
ULVR.L,Unilever PLC,EQUITY,GBp,uk,"{'raw': 101061935104, 'fmt': '101.062B', 'longFmt': '101,061,935,104'}",740076857,unilever
DGE.L,Diageo plc,EQUITY,GBp,uk,"{'raw': 87701184512, 'fmt': '87.701B', 'longFmt': '87,701,184,512'}",642236039,diageo
RIO.L,Rio Tinto Group,EQUITY,GBp,uk,"{'raw': 80753500160, 'fmt': '80.754B', 'longFmt': '80,753,500,160'}",591358126,tinto
BATS.L,British American Tobacco p.l.c.,EQUITY,GBp,uk,"{'raw': 77631111168, 'fmt': '77.631B', 'longFmt': '77,631,111,168'}",568492862,"british,american"
GLEN.L,Glencore plc,EQUITY,GBp,uk,"{'raw': 65836748800, 'fmt': '65.837B', 'longFmt': '65,836,748,800'}",482122710,glencore
GSK.L,GSK plc,EQUITY,GBp,uk,"{'raw': 57024245760, 'fmt': '57.024B', 'longFmt': '57,024,245,760'}",417588724,gsk
RKT.L,Reckitt Benckiser Group plc,EQUITY,GBp,uk,"{'raw': 47544066048, 'fmt': '47.544B', 'longFmt': '47,544,066,048'}",348165339,reckitt
LSEG.L,London Stock Exchange Group plc,EQUITY,GBp,uk,"{'raw': 47099285504, 'fmt': '47.099B', 'longFmt': '47,099,285,504'}",344908210,"london,stock"
REL.L,RELX PLC,EQUITY,GBp,uk,"{'raw': 45714960384, 'fmt': '45.715B', 'longFmt': '45,714,960,384'}",334770793,relx
GACA.L,General Accident PLC,EQUITY,GBp,uk,"{'raw': 36259999744, 'fmt': '36.26B', 'longFmt': '36,259,999,744'}",265532087,"general,accident"
SANB.L,Santander UK plc,EQUITY,GBp,uk,"{'raw': 39901564928, 'fmt': '39.902B', 'longFmt': '39,901,564,928'}",292199280,"santander,uk"
WDS.L,Woodside Energy Group Ltd,EQUITY,GBp,uk,"{'raw': 39342100480, 'fmt': '39.342B', 'longFmt': '39,342,100,480'}",288102321,"woodside,energy"
AAL.L,Anglo American plc,EQUITY,GBp,uk,"{'raw': 39164342272, 'fmt': '39.164B', 'longFmt': '39,164,342,272'}",286800597,"anglo,american"
NG.L,National Grid plc,EQUITY,GBp,uk,"{'raw': 41907798016, 'fmt': '41.908B', 'longFmt': '41,907,798,016'}",306890931,"national,grid"
BNC.L,"Banco Santander, S.A.",EQUITY,GBp,uk,"{'raw': 35452977152, 'fmt': '35.453B', 'longFmt': '35,452,977,152'}",259622259,"banco,santander"
CPG.L,Compass Group PLC,EQUITY,GBp,uk,"{'raw': 33912573952, 'fmt': '33.913B', 'longFmt': '33,912,573,952'}",248341881,"compass,group"
VOD.L,Vodafone Group Public Limited Company,EQUITY,GBp,uk,"{'raw': 32513034240, 'fmt': '32.513B', 'longFmt': '32,513,034,240'}",238093048,vodafone
LLOY.L,Lloyds Banking Group plc,EQUITY,GBp,uk,"{'raw': 30385811456, 'fmt': '30.386B', 'longFmt': '30,385,811,456'}",222515389,lloyds
0Z4S.IL,Tencent Holdings Limited,EQUITY,HKD,uk,"{'raw': 2992770646016, 'fmt': '2.993T', 'longFmt': '2,992,770,646,016'}",21916068509,tencent
MEL.L,Mitsubishi Electric Corporation,EQUITY,JPY,uk,"{'raw': 29826930688, 'fmt': '29.827B', 'longFmt': '29,826,930,688'}",218422703,mitsubishi
0Q0C.L,Toshiba Corporation,EQUITY,JPY,uk,"{'raw': 29327761408, 'fmt': '29.328B', 'longFmt': '29,327,761,408'}",214767285,"toshiba,corporation"
0R2V.IL,Apple Inc.,EQUITY,USD,uk,"{'raw': 2693948243968, 'fmt': '2.694T', 'longFmt': '2,693,948,243,968'}",19727791153,"apple,inc"
BARC.L,Barclays PLC,EQUITY,GBp,uk,"{'raw': 26589038592, 'fmt': '26.589B', 'longFmt': '26,589,038,592'}",194711610,barclays
PRU.L,Prudential plc,EQUITY,GBp,uk,"{'raw': 26008473600, 'fmt': '26.008B', 'longFmt': '26,008,473,600'}",190460130,"prudential,plc"
EXPN.L,Experian plc,EQUITY,GBp,uk,"{'raw': 25721341952, 'fmt': '25.721B', 'longFmt': '25,721,341,952'}",188357465,experian
BA.L,BAE Systems plc,EQUITY,GBp,uk,"{'raw': 25658447872, 'fmt': '25.658B', 'longFmt': '25,658,447,872'}",187896891,"bae,systems"
HLN.L,Haleon plc,EQUITY,GBp,uk,"{'raw': 24637831168, 'fmt': '24.638B', 'longFmt': '24,637,831,168'}",180422912,haleon
CRH.L,CRH plc,EQUITY,GBp,uk,"{'raw': 24628418560, 'fmt': '24.628B', 'longFmt': '24,628,418,560'}",180353983,crh
0R22.IL,Barrick Gold Corporation,EQUITY,GBp,uk,"{'raw': 2440762753024, 'fmt': '2.441T', 'longFmt': '2,440,762,753,024'}",17873713036,barrick
0QFP.IL,Richter Gedeon Vegyészeti Gyár Nyilvánosan Muködo Rt.,EQUITY,HUF,uk,"{'raw': 2398977261568, 'fmt': '2.399T', 'longFmt': '2,398,977,261,568'}",17567717755,gedeon
NWG.L,NatWest Group plc,EQUITY,GBp,uk,"{'raw': 26509508608, 'fmt': '26.51B', 'longFmt': '26,509,508,608'}",194129211,natwest
0RUK.IL,MOL Magyar Olaj- és Gázipari Nyilvánosan Muködo Részvénytársaság,EQUITY,HUF,uk,"{'raw': 2238208016384, 'fmt': '2.238T', 'longFmt': '2,238,208,016,384'}",16390404086,olaj-
FERG.L,Ferguson plc,EQUITY,GBp,uk,"{'raw': 21650145280, 'fmt': '21.65B', 'longFmt': '21,650,145,280'}",158544079,"ferguson,plc"
0QYP.IL,Microsoft Corporation,EQUITY,USD,uk,"{'raw': 2058616307712, 'fmt': '2.059T', 'longFmt': '2,058,616,307,712'}",15075253459,microsoft
SSE.L,SSE plc,EQUITY,GBp,uk,"{'raw': 19570757632, 'fmt': '19.571B', 'longFmt': '19,570,757,632'}",143316717,"sse,plc"
STAN.L,Standard Chartered PLC,EQUITY,GBp,uk,"{'raw': 17499402240, 'fmt': '17.499B', 'longFmt': '17,499,402,240'}",128148175,"standard,chartered"
TSCO.L,Tesco PLC,EQUITY,GBp,uk,"{'raw': 19396847616, 'fmt': '19.397B', 'longFmt': '19,396,847,616'}",142043173,tesco
FLTR.L,Flutter Entertainment plc,EQUITY,GBp,uk,"{'raw': 19324045312, 'fmt': '19.324B', 'longFmt': '19,324,045,312'}",141510042,"flutter,entertainment"
AHT.L,Ashtead Group plc,EQUITY,GBp,uk,"{'raw': 19211720704, 'fmt': '19.212B', 'longFmt': '19,211,720,704'}",140687488,ashtead
IMB.L,Imperial Brands PLC,EQUITY,GBp,uk,"{'raw': 17905686528, 'fmt': '17.906B', 'longFmt': '17,905,686,528'}",131123396,"imperial,brands"
0QIU.IL,Novo Nordisk A/S,EQUITY,DKK,uk,"{'raw': 1801632743424, 'fmt': '1.802T', 'longFmt': '1,801,632,743,424'}",13193362039,nordisk
LGEN.L,Legal & General Group Plc,EQUITY,GBp,uk,"{'raw': 15657458688, 'fmt': '15.657B', 'longFmt': '15,657,458,688'}",114659617,"legal,&"
BT-A.L,BT Group plc,EQUITY,GBp,uk,"{'raw': 15339686912, 'fmt': '15.34B', 'longFmt': '15,339,686,912'}",112332573,"bt,group"
0RIH.IL,Alphabet Inc.,EQUITY,USD,uk,"{'raw': 1490420367360, 'fmt': '1.49T', 'longFmt': '1,490,420,367,360'}",10914352866,"alphabet,inc"
0RYA.IL,Ryanair Holdings plc,EQUITY,GBp,uk,"{'raw': 1295903358976, 'fmt': '1.296T', 'longFmt': '1,295,903,358,976'}",9489904224,ryanair
0M2Z.IL,Equinor ASA,EQUITY,NOK,uk,"{'raw': 1286013190144, 'fmt': '1.286T', 'longFmt': '1,286,013,190,144'}",9417478488,equinor
0NZF.IL,"CEZ, a. s.",EQUITY,CZK,uk,"{'raw': 1100670435328, 'fmt': '1.101T', 'longFmt': '1,100,670,435,328'}",8060212933,cez
0R37.IL,Berkshire Hathaway Inc.,EQUITY,USD,uk,"{'raw': 637613113344, 'fmt': '637.613B', 'longFmt': '637,613,113,344'}",4669242761,"berkshire,hathaway"
0NC6.IL,Investor AB (publ),EQUITY,SEK,uk,"{'raw': 535490985984, 'fmt': '535.491B', 'longFmt': '535,490,985,984'}",3921402112,"investor,ab"
0XXT.IL,Atlas Copco AB,EQUITY,SEK,uk,"{'raw': 528228810752, 'fmt': '528.229B', 'longFmt': '528,228,810,752'}",3868221181,copco
0R0O.IL,UnitedHealth Group Incorporated,EQUITY,USD,uk,"{'raw': 506036387840, 'fmt': '506.036B', 'longFmt': '506,036,387,840'}",3705706001,unitedhealth
0LCV.IL,Taiwan Semiconductor Manufacturing Company Limited,EQUITY,USD,uk,"{'raw': 442839334912, 'fmt': '442.839B', 'longFmt': '442,839,334,912'}",3242913791,"taiwan,semiconductor"
0QZI.IL,"Meta Platforms, Inc.",EQUITY,USD,uk,"{'raw': 439225221120, 'fmt': '439.225B', 'longFmt': '439,225,221,120'}",3216447625,"meta,platforms"
0QZ0.IL,Visa Inc.,EQUITY,USD,uk,"{'raw': 409317933056, 'fmt': '409.318B', 'longFmt': '409,317,933,056'}",2997436464,"visa,inc"
0R1M.IL,Exxon Mobil Corporation,EQUITY,USD,uk,"{'raw': 407074242560, 'fmt': '407.074B', 'longFmt': '407,074,242,560'}",2981005911,"exxon,mobil"
0N4T.IL,Nordea Bank Abp,EQUITY,SEK,uk,"{'raw': 377771720704, 'fmt': '377.772B', 'longFmt': '377,771,720,704'}",2766423455,nordea
0R1W.IL,Walmart Inc.,EQUITY,USD,uk,"{'raw': 370467700736, 'fmt': '370.468B', 'longFmt': '370,467,700,736'}",2712936095,walmart
0MHW.IL,AB Volvo (publ),EQUITY,SEK,uk,"{'raw': 366777040896, 'fmt': '366.777B', 'longFmt': '366,777,040,896'}",2685909381,"ab,volvo"
0NOF.IL,The Procter & Gamble Company,EQUITY,USD,uk,"{'raw': 347172929536, 'fmt': '347.173B', 'longFmt': '347,172,929,536'}",2542348414,"procter,&"
0HAU.IL,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",EQUITY,EUR,uk,"{'raw': 345129746432, 'fmt': '345.13B', 'longFmt': '345,129,746,432'}",2527386178,lvmh
0O76.IL,A.P. Møller - Mærsk A/S,EQUITY,DKK,uk,"{'raw': 347119747072, 'fmt': '347.12B', 'longFmt': '347,119,747,072'}",2541958959,moller
0Q1F.IL,JPMorgan Chase & Co.,EQUITY,USD,uk,"{'raw': 337377525760, 'fmt': '337.378B', 'longFmt': '337,377,525,760'}",2470616643,jpmorgan
0R2Z.IL,Mastercard Incorporated,EQUITY,USD,uk,"{'raw': 324971986944, 'fmt': '324.972B', 'longFmt': '324,971,986,944'}",2379770845,mastercard
