symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
GOOG.MI,Alphabet Inc.,EQUITY,EUR,italy,"{'raw': 1477847285760, 'fmt': '1.478T', 'longFmt': '1,477,847,285,760'}",1478882498996,"alphabet,inc"
AMZN.MI,"Amazon.com, Inc.",EQUITY,EUR,italy,"{'raw': 1387006525440, 'fmt': '1.387T', 'longFmt': '1,387,006,525,440'}",1387978105878,amazoncom
LVMH.MI,"LVMH Moët Hennessy - Louis Vuitton, Société Européenne",EQUITY,EUR,italy,"{'raw': 345736282112, 'fmt': '345.736B', 'longFmt': '345,736,282,112'}",345978465982,lvmh
TSLA.MI,"Tesla, Inc.",EQUITY,EUR,italy,"{'raw': 316271558656, 'fmt': '316.272B', 'longFmt': '316,271,558,656'}",316493102862,"tesla,inc"
ASML.MI,ASML Holding N.V.,EQUITY,EUR,italy,"{'raw': 210158518272, 'fmt': '210.159B', 'longFmt': '210,158,518,272'}",210305731642,asml
ABI.MI,Anheuser-Busch InBev SA/NV,EQUITY,EUR,italy,"{'raw': 105085779968, 'fmt': '105.086B', 'longFmt': '105,085,779,968'}",105159391220,anheuser-busch
NFLX.MI,"Netflix, Inc.",EQUITY,EUR,italy,"{'raw': 103438614528, 'fmt': '103.439B', 'longFmt': '103,438,614,528'}",103511071962,netflix
SAP.MI,SAP SE,EQUITY,EUR,italy,"{'raw': 102854623232, 'fmt': '102.855B', 'longFmt': '102,854,623,232'}",102926671588,"sap,se"
SANF.MI,Sanofi,EQUITY,EUR,italy,"{'raw': 101481234432, 'fmt': '101.481B', 'longFmt': '101,481,234,432'}",101552320746,sanofi
SBUX.MI,Starbucks Corporation,EQUITY,EUR,italy,"{'raw': 98286280704, 'fmt': '98.286B', 'longFmt': '98,286,280,704'}",98355128994,starbucks
DTE.MI,Deutsche Telekom AG,EQUITY,EUR,italy,"{'raw': 94115840000, 'fmt': '94.116B', 'longFmt': '94,115,840,000'}",94181766949,telekom
VOW3.MI,Volkswagen AG,EQUITY,EUR,italy,"{'raw': 84745601024, 'fmt': '84.746B', 'longFmt': '84,745,601,024'}",84804964240,"volkswagen,ag"
SIE.MI,Siemens Aktiengesellschaft,EQUITY,EUR,italy,"{'raw': 83897753600, 'fmt': '83.898B', 'longFmt': '83,897,753,600'}",83956522909,"siemens,aktiengesellschaft"
AIR.MI,Airbus SE,EQUITY,EUR,italy,"{'raw': 82548310016, 'fmt': '82.548B', 'longFmt': '82,548,310,016'}",82606134057,"airbus,se"
GILD.MI,"Gilead Sciences, Inc.",EQUITY,EUR,italy,"{'raw': 79827132416, 'fmt': '79.827B', 'longFmt': '79,827,132,416'}",79883050307,"gilead,sciences"
MRK.MI,MERCK Kommanditgesellschaft auf Aktien,EQUITY,EUR,italy,"{'raw': 76291538944, 'fmt': '76.292B', 'longFmt': '76,291,538,944'}",76344980197,kommanditgesellschaft
ITX.MI,"Industria de Diseño Textil, S.A.",EQUITY,EUR,italy,"{'raw': 73964568576, 'fmt': '73.965B', 'longFmt': '73,964,568,576'}",74016379815,textil
ALV.MI,Allianz SE,EQUITY,EUR,italy,"{'raw': 71506616320, 'fmt': '71.507B', 'longFmt': '71,506,616,320'}",71556705795,allianz
EL.MI,EssilorLuxottica Société anonyme,EQUITY,EUR,italy,"{'raw': 71288840192, 'fmt': '71.289B', 'longFmt': '71,288,840,192'}",71338777118,essilorluxottica
IBE.MI,"Iberdrola, S.A.",EQUITY,EUR,italy,"{'raw': 69207597056, 'fmt': '69.208B', 'longFmt': '69,207,597,056'}",69256076097,iberdrola
KER.MI,Kering SA,EQUITY,EUR,italy,"{'raw': 67294785536, 'fmt': '67.295B', 'longFmt': '67,294,785,536'}",67341924677,kering
MU.MI,"Micron Technology, Inc.",EQUITY,EUR,italy,"{'raw': 64468082688, 'fmt': '64.468B', 'longFmt': '64,468,082,688'}",64513241760,"micron,technology"
BNP.MI,BNP Paribas SA,EQUITY,EUR,italy,"{'raw': 58586783744, 'fmt': '58.587B', 'longFmt': '58,586,783,744'}",58627823041,bnp
AXA.MI,AXA SA,EQUITY,EUR,italy,"{'raw': 54926213120, 'fmt': '54.926B', 'longFmt': '54,926,213,120'}",54964688234,"axa,sa"
BAY.MI,Bayer Aktiengesellschaft,EQUITY,EUR,italy,"{'raw': 53210161152, 'fmt': '53.21B', 'longFmt': '53,210,161,152'}",53247434193,"bayer,aktiengesellschaft"
ENEL.MI,Enel SpA,EQUITY,EUR,italy,"{'raw': 50668511232, 'fmt': '50.669B', 'longFmt': '50,668,511,232'}",50704003879,enel
BMW.MI,Bayerische Motoren Werke Aktiengesellschaft,EQUITY,EUR,italy,"{'raw': 48830185472, 'fmt': '48.83B', 'longFmt': '48,830,185,472'}",48864390396,bayerische
