symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
005930.KS,"Samsung Electronics Co., Ltd.",EQUITY,KRW,korea,"{'raw': 401525486649344, 'fmt': '401.525T', 'longFmt': '401,525,486,649,344'}",300781686272,samsung
373220.KS,"LG Energy Solution, Ltd.",EQUITY,KRW,korea,"{'raw': 107406000390144, 'fmt': '107.406T', 'longFmt': '107,406,000,390,144'}",80457552477,"lg,energy"
000660.KS,SK hynix Inc.,EQUITY,KRW,korea,"{'raw': 64707960504320, 'fmt': '64.708T', 'longFmt': '64,707,960,504,320'}",48472563069,hynix
051910.KS,"LG Chem, Ltd.",EQUITY,KRW,korea,"{'raw': 45601865596928, 'fmt': '45.602T', 'longFmt': '45,601,865,596,928'}",34160237612,"lg,chem"
005387.KS,Hyundai Motor Company,EQUITY,KRW,korea,"{'raw': 38359703486464, 'fmt': '38.36T', 'longFmt': '38,359,703,486,464'}",28735153018,hyundai
035420.KS,NAVER Corporation,EQUITY,KRW,korea,"{'raw': 36661064892416, 'fmt': '36.661T', 'longFmt': '36,661,064,892,416'}",27462707313,naver
035720.KS,Kakao Corp.,EQUITY,KRW,korea,"{'raw': 33127093239808, 'fmt': '33.127T', 'longFmt': '33,127,093,239,808'}",24815418441,kakao
000270.KS,Kia Corporation,EQUITY,KRW,korea,"{'raw': 31713642151936, 'fmt': '31.714T', 'longFmt': '31,713,642,151,936'}",23756605947,kia
068270.KS,"Celltrion, Inc.",EQUITY,KRW,korea,"{'raw': 27306745659392, 'fmt': '27.307T', 'longFmt': '27,306,745,659,392'}",20455411372,celltrion
105560.KS,KB Financial Group Inc.,EQUITY,KRW,korea,"{'raw': 19598590083072, 'fmt': '19.599T', 'longFmt': '19,598,590,083,072'}",14681252298,"kb,financial"
005490.KS,POSCO Holdings Inc.,EQUITY,KRW,korea,"{'raw': 19000224382976, 'fmt': '19T', 'longFmt': '19,000,224,382,976'}",14233018125,posco
055550.KS,"Shinhan Financial Group Co., Ltd.",EQUITY,KRW,korea,"{'raw': 18696225423360, 'fmt': '18.696T', 'longFmt': '18,696,225,423,360'}",14005293304,shinhan
03473K.KS,SK Inc.,EQUITY,KRW,korea,"{'raw': 17964921257984, 'fmt': '17.965T', 'longFmt': '17,964,921,257,984'}",13457475277,"sk,inc"
096775.KS,"SK Innovation Co., Ltd.",EQUITY,KRW,korea,"{'raw': 17514123755520, 'fmt': '17.514T', 'longFmt': '17,514,123,755,520'}",13119784053,"sk,innovation"
066570.KS,LG Electronics Inc.,EQUITY,KRW,korea,"{'raw': 16953333776384, 'fmt': '16.953T', 'longFmt': '16,953,333,776,384'}",12699697754,"lg,electronics"
034020.KS,"Doosan Enerbility Co., Ltd.",EQUITY,KRW,korea,"{'raw': 14314233659392, 'fmt': '14.314T', 'longFmt': '14,314,233,659,392'}",10722754796,enerbility
323410.KS,KakaoBank Corp.,EQUITY,KRW,korea,"{'raw': 13476346986496, 'fmt': '13.476T', 'longFmt': '13,476,346,986,496'}",10095096092,kakaobank
015760.KS,Korea Electric Power Corporation,EQUITY,KRW,korea,"{'raw': 13352851996672, 'fmt': '13.353T', 'longFmt': '13,352,851,996,672'}",10002586320,"korea,electric"
003550.KS,LG Corp.,EQUITY,KRW,korea,"{'raw': 13245471522816, 'fmt': '13.245T', 'longFmt': '13,245,471,522,816'}",9922147889,"lg,corp"
010955.KS,S-Oil Corporation,EQUITY,KRW,korea,"{'raw': 12139821531136, 'fmt': '12.14T', 'longFmt': '12,139,821,531,136'}",9093908388,s-oil
