symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
AAPL34.SA,Apple Inc.,EQUITY,BRL,brazil,"{'raw': 13865112829952, 'fmt': '13.865T', 'longFmt': '13,865,112,829,952'}",2712586079027,"apple,inc"
MSFT34.SA,Microsoft Corporation,EQUITY,BRL,brazil,"{'raw': 10636323979264, 'fmt': '10.636T', 'longFmt': '10,636,323,979,264'}",2080902240899,microsoft
GOGL35.SA,Alphabet Inc.,EQUITY,BRL,brazil,"{'raw': 7654294421504, 'fmt': '7.654T', 'longFmt': '7,654,294,421,504'}",1497494665005,"alphabet,inc"
AMZO34.SA,"Amazon.com, Inc.",EQUITY,BRL,brazil,"{'raw': 7053551075328, 'fmt': '7.054T', 'longFmt': '7,053,551,075,328'}",1379964569297,amazoncom
TSLA34.SA,"Tesla, Inc.",EQUITY,BRL,brazil,"{'raw': 4758760325120, 'fmt': '4.759T', 'longFmt': '4,758,760,325,120'}",931009157275,"tesla,inc"
BERK34.SA,Berkshire Hathaway Inc.,EQUITY,BRL,brazil,"{'raw': 3305533341696, 'fmt': '3.306T', 'longFmt': '3,305,533,341,696'}",646698215615,"berkshire,hathaway"
H1SB34.SA,HSBC Holdings plc,EQUITY,BRL,brazil,"{'raw': 3145359425536, 'fmt': '3.145T', 'longFmt': '3,145,359,425,536'}",615361612695,hsbc
UNHH34.SA,UnitedHealth Group Incorporated,EQUITY,BRL,brazil,"{'raw': 2567162560512, 'fmt': '2.567T', 'longFmt': '2,567,162,560,512'}",502242535610,unitedhealth
JNJB34.SA,Johnson & Johnson,EQUITY,BRL,brazil,"{'raw': 2253423116288, 'fmt': '2.253T', 'longFmt': '2,253,423,116,288'}",440862202159,"johnson,&"
VISA34.SA,Visa Inc.,EQUITY,BRL,brazil,"{'raw': 2248403058688, 'fmt': '2.248T', 'longFmt': '2,248,403,058,688'}",439880072512,"visa,inc"
M1TA34.SA,"Meta Platforms, Inc.",EQUITY,BRL,brazil,"{'raw': 2245036605440, 'fmt': '2.245T', 'longFmt': '2,245,036,605,440'}",439221455859,"meta,platforms"
NVDC34.SA,NVIDIA Corporation,EQUITY,BRL,brazil,"{'raw': 2209923989504, 'fmt': '2.21T', 'longFmt': '2,209,923,989,504'}",432351984665,nvidia
EXXO34.SA,Exxon Mobil Corporation,EQUITY,BRL,brazil,"{'raw': 2112524910592, 'fmt': '2.113T', 'longFmt': '2,112,524,910,592'}",413296720650,"exxon,mobil"
