symbol,longName,quoteType,currency,search_country,marketCap,Market_Cap,name
RELIANCE.NS,Reliance Industries Limited,EQUITY,INR,india,"{'raw': 17984001146880, 'fmt': '17.984T', 'longFmt': '17,984,001,146,880'}",225171558057,"reliance,industries"
TCS.NS,Tata Consultancy Services Limited,EQUITY,INR,india,"{'raw': 11883863080960, 'fmt': '11.884T', 'longFmt': '11,883,863,080,960'}",148793805329,"tata,consultancy"
HDFCBANK.NS,HDFC Bank Limited,EQUITY,INR,india,"{'raw': 8253818273792, 'fmt': '8.254T', 'longFmt': '8,253,818,273,792'}",103343249672,hdfc
INFY.NS,Infosys Limited,EQUITY,INR,india,"{'raw': 6457485950976, 'fmt': '6.457T', 'longFmt': '6,457,485,950,976'}",80851983985,infosys
ICICIBANK.NS,ICICI Bank Limited,EQUITY,INR,india,"{'raw': 6129340907520, 'fmt': '6.129T', 'longFmt': '6,129,340,907,520'}",76743391570,icici
HINDUNILVR.NS,Hindustan Unilever Limited,EQUITY,INR,india,"{'raw': 6119859159040, 'fmt': '6.12T', 'longFmt': '6,119,859,159,040'}",76624673824,unilever
SBIN.NS,State Bank of India,EQUITY,INR,india,"{'raw': 4693452390400, 'fmt': '4.693T', 'longFmt': '4,693,452,390,400'}",58765120107,"state,bank"
HDFC.NS,Housing Development Finance Corporation Limited,EQUITY,INR,india,"{'raw': 4469503819776, 'fmt': '4.47T', 'longFmt': '4,469,503,819,776'}",55961136269,"housing,development"
BHARTIARTL.NS,Bharti Airtel Limited,EQUITY,INR,india,"{'raw': 4436457947136, 'fmt': '4.436T', 'longFmt': '4,436,457,947,136'}",55547380143,airtel
BAJFINANCE.NS,Bajaj Finance Limited,EQUITY,INR,india,"{'raw': 4334662713344, 'fmt': '4.335T', 'longFmt': '4,334,662,713,344'}",54272836664,"bajaj,finance"
LICI.NS,Life Insurance Corporation of India,EQUITY,INR,india,"{'raw': 4308278444032, 'fmt': '4.308T', 'longFmt': '4,308,278,444,032'}",53942488207,"life,insurance"
ADANITRANS.NS,Adani Transmission Limited,EQUITY,INR,india,"{'raw': 4142483898368, 'fmt': '4.142T', 'longFmt': '4,142,483,898,368'}",51866631124,adani
ITC.NS,ITC Limited,EQUITY,INR,india,"{'raw': 3904382959616, 'fmt': '3.904T', 'longFmt': '3,904,382,959,616'}",48885450300,"itc,limited"
KOTAKBANK.NS,Kotak Mahindra Bank Limited,EQUITY,INR,india,"{'raw': 3775396315136, 'fmt': '3.775T', 'longFmt': '3,775,396,315,136'}",47270452421,kotak
ASIANPAINT.NS,Asian Paints Limited,EQUITY,INR,india,"{'raw': 3253311897600, 'fmt': '3.253T', 'longFmt': '3,253,311,897,600'}",40733611105,"asian,paints"
DMART.NS,Avenue Supermarts Limited,EQUITY,INR,india,"{'raw': 2827507728384, 'fmt': '2.828T', 'longFmt': '2,827,507,728,384'}",35402262011,supermarts
LT.NS,Larsen & Toubro Limited,EQUITY,INR,india,"{'raw': 2677097889792, 'fmt': '2.677T', 'longFmt': '2,677,097,889,792'}",33519031610,toubro
MARUTI.NS,Maruti Suzuki India Limited,EQUITY,INR,india,"{'raw': 2666158096384, 'fmt': '2.666T', 'longFmt': '2,666,158,096,384'}",33382058179,maruti
BAJAJFINSV.NS,Bajaj Finserv Ltd.,EQUITY,INR,india,"{'raw': 2620161261568, 'fmt': '2.62T', 'longFmt': '2,620,161,261,568'}",32806147464,finserv
HCLTECH.NS,HCL Technologies Limited,EQUITY,INR,india,"{'raw': 2576086728704, 'fmt': '2.576T', 'longFmt': '2,576,086,728,704'}",32254305238,"hcl,technologies"
