Symmetric group,Partition,Conjugacy class size
S11,6+1+1+1+1+1,55440
S11,6+2+1+1+1,554400
S11,6+2+2+1,831600
S11,6+3+1+1,1108800
S11,6+3+2,1108800
S11,6+4+1,1663200
S11,6+5,1330560
S11,7+1+1+1+1,237600
S11,7+2+1+1,1425600
S11,7+2+2,712800
S11,7+3+1,1900800
S11,7+4,1425600
S11,8+1+1+1,831600
S11,8+2+1,2494800
S11,8+3,1663200
S11,9+1+1,2217600
S11,9+2,2217600
S11,10+1,3991680
S11,11,3628800
S12,1+1+1+1+1+1+1+1+1+1+1+1,1
S12,2+1+1+1+1+1+1+1+1+1+1,66
S12,2+2+1+1+1+1+1+1+1+1,1485
S12,2+2+2+1+1+1+1+1+1,13860
S12,2+2+2+2+1+1+1+1,51975
S12,2+2+2+2+2+1+1,62370
S12,2+2+2+2+2+2,10395
S12,3+1+1+1+1+1+1+1+1+1,440
S12,3+2+1+1+1+1+1+1+1,15840
S12,3+2+2+1+1+1+1+1,166320
S12,3+2+2+2+1+1+1,554400
S12,3+2+2+2+2+1,415800
S12,3+3+1+1+1+1+1+1,36960
S12,3+3+2+1+1+1+1,554400
S12,3+3+2+2+1+1,1663200
S12,3+3+2+2+2,554400
S12,3+3+3+1+1+1,492800
S12,3+3+3+2+1,1478400
S12,3+3+3+3,246400
S12,4+1+1+1+1+1+1+1+1,2970
S12,4+2+1+1+1+1+1+1,83160
S12,4+2+2+1+1+1+1,623700
S12,4+2+2+2+1+1,1247400
S12,4+2+2+2+2,311850
S12,4+3+1+1+1+1+1,332640
S12,4+3+2+1+1+1,3326400
S12,4+3+2+2+1,4989600
S12,4+3+3+1+1,3326400
S12,4+3+3+2,3326400
S12,4+4+1+1+1+1,623700
S12,4+4+2+1+1,3742200
S12,4+4+2+2,1871100
S12,4+4+3+1,4989600
S12,4+4+4,1247400
S12,5+1+1+1+1+1+1+1,19008
S12,5+2+1+1+1+1+1,399168
S12,5+2+2+1+1+1,1995840
S12,5+2+2+2+1,1995840
S12,5+3+1+1+1+1,1330560
S12,5+3+2+1+1,7983360
S12,5+3+2+2,3991680
S12,5+3+3+1,5322240
S12,5+4+1+1+1,3991680
S12,5+4+2+1,11975040
S12,5+4+3,7983360
S12,5+5+1+1,4790016
S12,5+5+2,4790016
S12,6+1+1+1+1+1+1,110880
S12,6+2+1+1+1+1,1663200
S12,6+2+2+1+1,4989600
S12,6+2+2+2,1663200
S12,6+3+1+1+1,4435200
S12,6+3+2+1,13305600
S12,6+3+3,4435200
S12,6+4+1+1,9979200
S12,6+4+2,9979200
S12,6+5+1,15966720
S12,6+6,6652800
S12,7+1+1+1+1+1,570240
S12,7+2+1+1+1,5702400
S12,7+2+2+1,8553600
S12,7+3+1+1,11404800
S12,7+3+2,11404800
S12,7+4+1,17107200
S12,7+5,13685760
S12,8+1+1+1+1,2494800
S12,8+2+1+1,14968800
S12,8+2+2,7484400
S12,8+3+1,19958400
S12,8+4,14968800
S12,9+1+1+1,8870400
S12,9+2+1,26611200
S12,9+3,17740800
S12,10+1+1,23950080
S12,10+2,23950080
S12,11+1,43545600
S12,12,39916800
