Index,Device,BPMTYP,envKx,envKy,envtrigDelay,envmtphsoffs,envXoffset,envYoffset,envQoffset,envexSwitch,envilk,envilk_1,envilk_2,envilk_3,envilk_4,envilk_5,envilk_6,envilk_7,envpmOffset,envSpikeRemoval_1,envSpikeRemoval_2,envSpikeRemoval_3,envSpikeRemoval_4,envSpikeRemoval_5,envSpikeRemoval_6
1,BPM_SWR_13,OOStr,33303821,33303821,3668,0,0,0,0,1,0,-217900,1782100,-290500,1709500,30000,5,-40,1000,0,1,-4,2,-1,3
2,BPM_SWR_31,OOArc,16975404,17640265,3680,0,0,0,0,1,0,-878700,1121300,-911700,1088300,30000,5,-40,1000,0,1,-4,2,-1,3
3,BPM_SWR_46,OOArc,16975404,17640265,3693,0,0,0,0,1,0,-772200,1227800,-841700,1158300,30000,5,-40,1000,0,1,-4,2,-1,3
4,BPM_SWR_61,OOArc,16975404,17640265,3707,0,0,0,0,1,0,-1696600,303400,-527500,1472500,30000,5,-40,1000,0,1,-4,2,-1,3
5,BPM_SWR_75,OOArc,16975404,17640265,3718,0,0,0,0,1,0,-734900,1265100,-1187300,812700,30000,5,-40,1000,0,1,-4,2,-1,3
6,BPM_SWR_90,OOArc,16975404,17640265,3730,0,0,0,0,1,0,-1098600,901400,-892100,1107900,30000,5,-40,1000,0,1,-4,2,-1,3
7,BPM_SWR_104,OOArc,16975404,17640265,3744,0,0,0,0,1,0,-494300,1505700,-289400,1710600,30000,5,-40,1000,0,1,-4,2,-1,3
8,BPM_SWR_118,OOArc,16975404,17640265,3752,0,0,0,0,1,0,-202200,1797800,-872900,1127100,30000,5,-40,1000,0,1,-4,2,-1,3
9,BPM_SWR_133,OOArc,16975404,17640265,3765,0,0,0,0,1,0,111900,2111900,-1001900,998100,30000,5,-40,1000,0,1,-4,2,-1,3
10,BPM_WL_140,OOArc,16975404,17640265,3753,0,0,0,0,1,0,-1300600,699400,-1510700,489300,30000,5,-40,1000,0,1,-4,2,-1,3
11,BPM_WL_126,OOArc,16975404,17640265,3749,0,0,0,0,1,0,-444800,1555200,-928300,1071700,30000,5,-40,1000,0,1,-4,2,-1,3
12,BPM_WL_111,OOArc,16975404,17640265,3750,0,0,0,0,1,0,-1071500,928500,-1601200,398800,30000,5,-40,1000,0,1,-4,2,-1,3
13,BPM_WL_97,OOArc,16975404,17640265,3750,0,0,0,0,1,0,-400400,1599600,-1060800,939200,30000,5,-40,1000,0,1,-4,2,-1,3
14,BPM_WL_82,OOArc,16975404,17640265,3747,0,0,0,0,1,0,-907200,1092800,-1323700,676300,30000,5,-40,1000,0,1,-4,2,-1,3
15,BPM_WL_68,OOArc,16975404,17640265,3745,0,0,0,0,1,0,-958900,1041100,-992700,1007300,30000,5,-40,1000,0,1,-4,2,-1,3
16,BPM_WL_53,OOArc,16975404,17640265,3748,0,0,0,0,1,1,-10152080,9847920,-1071980,1928020,30000,5,-40,1000,0,1,-4,2,-1,3
17,BPM_WL_36,DWRac,11634649,17232097,3744,0,0,0,0,1,1,-9775000,10225000,-2134000,866000,30000,5,-40,1000,0,1,-4,2,-1,3
18,BPM_WL_30,DWRac,11634649,17232097,3744,0,0,0,0,1,1,-9700000,10300000,-1668000,1332000,30000,5,-40,1000,0,1,-4,2,-1,3
19,BPM_WL_24,DWRac,11634649,17232097,3741,0,0,0,0,1,1,-9971000,10029000,-2042000,958000,30000,5,-40,1000,0,1,-4,2,-1,3
20,BPM_WL_18,DWRac,11634649,17232097,3741,0,0,0,0,1,1,-10011000,9989000,-1690000,1310000,30000,5,-40,1000,0,1,-4,2,-1,3
21,BPM_WL_12,DWRac,11634649,17232097,3744,0,0,0,0,1,1,-10200000,9800000,-1740000,1260000,30000,5,-40,1000,0,1,-4,2,-1,3
22,BPM_WL_6,DWRac,11634649,17232097,3745,0,0,0,0,1,1,-10698000,9302000,-2280000,720000,30000,5,-40,1000,0,1,-4,2,-1,3
23,BPM_WR_0,DWRac,11634649,17232097,3746,0,0,0,0,1,1,-9822000,10178000,-1795000,1205000,30000,5,-40,1000,0,1,-4,2,-1,3
24,BPM_WR_7,DWRac,11634649,17232097,3742,0,0,0,0,1,1,-10047000,9953000,-1630000,1370000,30000,5,-40,1000,0,1,-4,2,-1,3
25,BPM_WR_13,DWRac,11634649,17232097,3748,0,0,0,0,1,1,-7417000,12583000,-3191000,-191000,30000,5,-40,1000,0,1,-4,2,-1,3
26,BPM_WR_19,DWRac,11634649,17232097,3750,0,0,0,0,1,1,-10158000,9842000,-1558000,1442000,30000,5,-40,1000,0,1,-4,2,-1,3
27,BPM_WR_25,DWRac,11634649,17232097,3755,0,0,0,0,1,1,-9401000,10599000,-1852000,1148000,30000,5,-40,1000,0,1,-4,2,-1,3
28,BPM_WR_31,DWRac,11634649,17232097,3760,0,0,0,0,1,0,-1447990,552010,-1517750,482250,30000,5,-40,1000,0,1,-4,2,-1,3
29,BPM_WR_37,DWRac,11634649,17232097,3768,0,0,0,0,1,0,-1032800,967200,-1314300,685700,30000,5,-40,1000,0,1,-4,2,-1,3
30,BPM_WR_56,DWOct,10254951,14672802,3785,0,0,0,0,1,0,-19100,1980900,-1469300,530700,30000,5,-40,1000,0,1,-4,2,-1,3
31,BPM_WR_68,OOArc,16975404,17640265,3795,0,0,0,0,1,0,-671200,1328800,-1244100,755900,30000,5,-40,1000,0,1,-4,2,-1,3
32,BPM_WR_82,OOArc,16975404,17640265,3806,0,0,0,0,1,0,-929200,1070800,-679700,1320300,30000,5,-40,1000,0,1,-4,2,-1,3
33,BPM_WR_97,OOArc,16975404,17640265,3819,0,0,0,0,1,0,-2174300,-174300,-398900,1601100,30000,5,-40,1000,0,1,-4,2,-1,3
34,BPM_WR_111,OOArc,16975404,17640265,3830,0,0,0,0,1,0,-984300,1015700,-90800,1909200,30000,5,-40,1000,0,1,-4,2,-1,3
35,BPM_WR_126,OOArc,16975404,17640265,3840,0,0,0,0,1,0,-793970,1206030,-905020,1094980,30000,5,-40,1000,0,1,-4,2,-1,3
36,BPM_WR_140,OOArc,16975404,17640265,3855,0,0,0,0,1,0,-923500,1076500,-842900,1157100,30000,5,-40,1000,0,1,-4,2,-1,3
37,BPM_NWL_133,OOArc,16975404,17640265,3910,0,0,0,0,1,0,-756100,1243900,-903500,1096500,30000,5,-40,1000,0,1,-4,2,-1,3
38,BPM_NWL_118,OOArc,16975404,17640265,3910,0,0,0,0,1,0,-1016100,983900,-653600,1346400,30000,5,-40,1000,0,1,-4,2,-1,3
39,BPM_NWL_104,OOArc,16975404,17640265,3910,0,0,0,0,1,0,65100,2065100,-713200,1286800,30000,5,-40,1000,0,1,-4,2,-1,3
40,BPM_NWL_90,OOArc,16975404,17640265,3910,0,0,0,0,1,0,25400,2025400,-1264200,735800,30000,5,-40,1000,0,1,-4,2,-1,3
41,BPM_NWL_75,OOArc,16975404,17640265,3905,0,0,0,0,1,0,-1350600,649400,-1289700,710300,30000,5,-40,1000,0,1,-4,2,-1,3
42,BPM_NWL_61,OOArc,16975404,17640265,3905,0,0,0,0,1,0,-1643500,356500,-341900,1658100,30000,5,-40,1000,0,1,-4,2,-1,3
43,BPM_NWL_46,OOArc,16975404,17640265,3904,0,0,0,0,1,0,-1350100,649900,-102500,1897500,30000,5,-40,1000,0,1,-4,2,-1,3
44,BPM_NWL_31,OOArc,16975404,17640265,3904,0,0,0,0,1,0,-965700,1034300,-656700,1343300,30000,5,-40,1000,0,1,-4,2,-1,3
45,BPM_NWL_13,OOStr,33303821,33303821,3905,0,0,0,0,1,0,-394500,1605500,-191800,1808200,30000,5,-40,1000,0,1,-4,2,-1,3
46,BPM_NWL_1,OOStr,33303821,33303821,3905,0,0,0,0,1,0,247480,2247480,-1067700,932300,30000,5,-40,1000,0,1,-4,2,-1,3
47,BPM_NWR_13,OOStr,33303821,33303821,3915,0,0,0,0,1,0,24000,2024000,-1076100,923900,30000,5,-40,1000,0,1,-4,2,-1,3
48,BPM_NWR_31,OOArc,16975404,17640265,3930,0,0,0,0,1,0,-1955300,44700,-634500,1365500,30000,5,-40,1000,0,1,-4,2,-1,3
49,BPM_NWR_46,OOArc,16975404,17640265,3940,0,0,0,0,1,0,-599400,1400600,-865500,1134500,30000,5,-40,1000,0,1,-4,2,-1,3
50,BPM_NWR_61,OOArc,16975404,17640265,3954,0,0,0,0,1,0,-1648600,351400,-68400,1931600,30000,5,-40,1000,0,1,-4,2,-1,3
51,BPM_NWR_75,OOArc,16975404,17640265,3970,0,0,0,0,1,0,-1932300,67700,-439300,1560700,30000,5,-40,1000,0,1,-4,2,-1,3
52,BPM_NWR_90,OOArc,16975404,17640265,3982,0,0,0,0,1,0,-2195000,-195000,-518900,1481100,30000,5,-40,1000,0,1,-4,2,-1,3
53,BPM_NWR_104,OOArc,16975404,17640265,3993,0,0,0,0,1,0,-2380400,-380400,27300,2027300,30000,5,-40,1000,0,1,-4,2,-1,3
54,BPM_NWR_118,OOArc,16975404,17640265,4005,0,0,0,0,1,0,-1377700,622300,-675600,1324400,30000,5,-40,1000,0,1,-4,2,-1,3
55,BPM_NWR_133,OOArc,16975404,17640265,4020,0,0,0,0,1,0,-1751600,248400,-864700,1135300,30000,5,-40,1000,0,1,-4,2,-1,3
56,BPM_NL_140,OOArc,16975404,17640265,4090,0,0,0,0,1,0,-831800,1168200,34500,2034500,30000,5,-40,1000,0,1,-4,2,-1,3
57,BPM_NL_126,OOArc,16975404,17640265,4090,0,0,0,0,1,0,-976400,1023600,-1439500,560500,30000,5,-40,1000,0,1,-4,2,-1,3
58,BPM_NL_111,OOArc,16975404,17640265,4087,0,0,0,0,1,0,-1635900,364100,-1186600,813400,30000,5,-40,1000,0,1,-4,2,-1,3
59,BPM_NL_97,OOArc,16975404,17640265,4085,0,0,0,0,1,0,-841500,1158500,-944400,1055600,30000,5,-40,1000,0,1,-4,2,-1,3
60,BPM_NL_82,OOArc,16975404,17640265,4087,0,0,0,0,1,0,-169600,1830400,-1145400,854600,30000,5,-40,1000,0,1,-4,2,-1,3
61,BPM_NL_68,OOArc,16975404,17640265,4087,0,0,0,0,1,0,-521000,1479000,-952600,1047400,30000,5,-40,1000,0,1,-4,2,-1,3
62,BPM_NL_53,OOArc,16975404,17640265,4087,0,0,0,0,1,1,-10564160,9435840,-1733490,1266510,30000,5,-40,1000,0,1,-4,2,-1,3
63,BPM_NL_36,DWRac,11634649,17232097,4085,0,0,0,0,1,1,-10532000,9468000,-1715000,1285000,30000,5,-40,1000,0,1,-4,2,-1,3
